City_ID,City,Country,Max Temp,Current Descriptions,Lat,Lng,Hotel Name
346,Kruisfontein,ZA,59.0,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
347,Puerto Concordia,CO,78.37,overcast clouds,2.6221,-72.7572,Hotel El Jardín
348,Mana,GF,77.76,overcast clouds,5.6592,-53.7767,LE SAMANA
349,Langsa,ID,73.63,overcast clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
350,Mahon,ES,57.2,broken clouds,39.8885,4.2658,ARTIEM Capri
352,Juntas,CR,82.51,overcast clouds,10.2809,-84.9595,Hotel Pueblo Antiguo Abangares and Hot Springs
353,Xinglongshan,CN,51.8,clear sky,43.9561,125.4661,Fashion Hotel
356,Kaeo,NZ,66.99,clear sky,-35.1,173.7833,Bushido Lodge
358,Greenfield,US,53.01,overcast clouds,42.9614,-88.0126,Brewtown Eatery Bar & Grill
360,Kieta,PG,80.01,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
364,Maningrida,AU,79.12,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
366,Bundaberg,AU,75.2,scattered clouds,-24.85,152.35,Takalvan Motel
367,Bambous Virieux,MU,78.8,light rain,-20.3428,57.7575,Casa Tia Villa
369,Voh,NC,76.26,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
372,Hamilton,US,53.01,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
373,Dhrol,IN,80.76,broken clouds,22.5667,70.4167,Marknday Holiday
375,Goiatuba,BR,67.96,clear sky,-18.0125,-49.3547,Hotel Barrocos
376,Caucayá,CO,74.86,overcast clouds,-0.1934,-74.7819,la casona de juancho
377,Bahía Honda,CU,80.65,overcast clouds,22.9036,-83.1592,Casa Gualberto - Deysi
378,Bereda,ES,54.0,overcast clouds,43.2686,-7.5406,Pazo de Verdes
380,Tabou,CI,80.51,light rain,4.423,-7.3528,hotêl doufoulougou
381,Esperance,AU,60.8,broken clouds,-33.8667,121.9,Hospitality Esperance
383,Guiren,CN,56.7,overcast clouds,33.6697,118.1889,Suyuan Hotel
384,Māndalgarh,IN,74.39,scattered clouds,25.2,75.1,दुर्गा टेंट हाऊस
385,Nishihara,JP,73.4,broken clouds,26.1842,127.7558,Minshuku Agaihama
387,San Luis,AR,56.5,clear sky,-33.295,-66.3356,Huarpes Hotel
389,Olot,ES,55.0,overcast clouds,42.181,2.4901,Hotel Riu Fluvià
390,Mackay,AU,75.2,scattered clouds,-21.15,149.2,International Lodge Motel
391,Ternate,ID,83.41,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
394,Porto Torres,IT,46.4,clear sky,40.835,8.3972,Hotel Elisa
397,Denia,ES,59.0,overcast clouds,38.8408,0.1057,Hotel Port Denia
398,Kahului,US,82.4,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
401,Carmaux,FR,55.99,overcast clouds,44.051,2.158,Café Hôtel Le Gambetta
402,Hofn,IS,45.09,overcast clouds,64.2539,-15.2082,Hótel Höfn
403,Normandin,CA,55.4,overcast clouds,48.8333,-72.5321,Chambres MB Normandin (Lac St -Jean)
406,Manta,EC,77.0,scattered clouds,-0.95,-80.7333,Balandra Hotel
407,Kintampo,GH,73.02,overcast clouds,8.0563,-1.7306,Adomaa Memorial Hotel
408,Pacific Grove,US,62.6,clear sky,36.6177,-121.9166,Lovers Point Inn
411,Berbera,SO,83.39,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
413,Arrondissement de Narbonne,FR,55.99,overcast clouds,43.0833,2.8333,Bed & Breakfast Demeure de Roquelongue Saint-André de Roquelongue
414,Gambēla,ET,75.87,broken clouds,8.25,34.5833,Solomon Debebe Hotel
415,Seondha,IN,75.45,broken clouds,26.1578,78.7797,रामोराम मंदिर (पं. लक्ष्मी कांत दीक्षित)
417,Huarmey,PE,68.04,clear sky,-10.0681,-78.1522,Hotel Miramar
418,Tangi,PK,66.2,haze,34.3006,71.6536,White light hair dresser tangi sudiar khan
419,Yining,CN,60.15,overcast clouds,29.0361,114.5636,Xiushui Hotel
420,Hwange,ZW,65.28,few clouds,-18.3693,26.5019,Hwange Colliery Guest House
421,Coquimbo,CL,59.0,clear sky,-29.9533,-71.3436,Punto de encuentro
426,Kudamatsu,JP,66.2,scattered clouds,34.0,131.8667,Hotel AZ Yamaguchi Kudamatsu
427,Hualmay,PE,66.76,clear sky,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
429,Jālna,IN,80.6,few clouds,19.8333,75.8833,Hotel Shivneri Palace
