City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
284,Belmonte,BR,2021-04-24 19:21:57,-15.8631,-38.8828,82.4,69,40,12.66
285,Imbituva,BR,2021-04-24 19:21:58,-25.23,-50.6044,75.13,45,98,3.74
286,Hannibal,US,2021-04-24 19:21:58,39.7084,-91.3585,64.0,48,75,4.61
287,La Paz,BO,2021-04-24 19:21:58,-16.5,-68.15,59.0,31,20,20.71
288,Cayenne,GF,2021-04-24 19:21:59,4.9333,-52.3333,80.6,83,0,6.91
289,Mayo,US,2021-04-24 19:21:59,38.8876,-76.5119,63.0,34,1,11.5
290,Oranjemund,NA,2021-04-24 19:21:59,-28.55,16.4333,59.47,90,12,2.55
291,Padang,ID,2021-04-24 19:17:42,-0.9492,100.3543,76.71,87,89,2.3
292,Iturama,BR,2021-04-24 19:22:00,-19.7281,-50.1956,86.23,23,0,4.9
293,Ancud,CL,2021-04-24 19:22:00,-41.8697,-73.8203,62.01,77,75,9.22
